restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
1408	3	3805 SW Eighth St.	(Galiano St.)	Coral Gables, FL 33134
1409	2	117 SW 107th Ave	Miami, FL 33174
1410	2	8522 SW 8th St	Miami, FL 33144
1411	2	18090 Collins Ave Ste 3	Sunny Isles Beach, FL 33160
1412	2	7665 Pines Blvd	Pembroke Pines, FL 33024
1413	2	1116 Ocean Dr	Miami Beach, FL 33139
1414	2	11920 SW 8th St	Miami, FL 33184
1415	3	709 NE 79th St.	(Biscayne Blvd.)	Miami, FL 33138
1416	3	225 Altara Ave.	(bet. Aurora St. & Ponce de Leon Blvd.)	Coral Gables, FL 33146
1417	3	4312 NE Second Ave.	(NE 43rd & 44th)	Miami, FL 33137
1418	2	251 NE 14th St	Miami, FL 33132
1419	5	The Shops at Sunset Pl.	|	5701 Sunset Dr.	(SW 57th Ave.)	South Miami, FL 33143
1420	2	5751 Seminole Way	Ft. Lauderdale, FL 33314
1421	3	5759 Bird Rd.	(bet. Red Rd. & SW 58th Ave.)	South Miami, FL 33155
1422	3	15749 Pines Blvd.	(bet. NE 155th Ave. & Westfork Plaza Way)	Pembroke Pines, FL 33028
1423	2	1363 Coral Way	Miami, FL 33145
1424	3	20 Biscayne Blvd.	(Flagler St.)	Miami, FL 33132
1425	5	Atlas Plaza	|	130 NE 40th St.	(bet. NE 1st & 2nd Aves.)	Miami, FL 33137
1426	3	276 Alhambra Circle	(bet. Ponce de Leon Blvd. & Salzedo St.)	Coral Gables, FL 33134
1427	2	28 NE 29th St	Miami, FL 33137
1428	3	3445 Griffin Rd.	(SW 34th Terr.)	Dania, FL 33312
1429	5	Shore Club	|	1901 Collins Ave.	(20th St.)	Miami Beach, FL 33139
1430	2	11433 SW 40th St	Miami, FL 33165
1431	5	Sanctuary Hotel	|	1745 James Ave.	(bet. 17th & 18th Sts.)	Miami Beach, FL 33139
1432	2	935 Willow Ave	Hoboken, NJ 07030
1433	2	US Highway 130 N	Trenton, NJ 08610
1434	2	524 Washington St	Cape May, NJ 08204
1435	2	128 Talmadge Rd	Edison, NJ 08817
1436	3	141 Main St.	(Ravine Dr.)	Matawan, NJ 07747
1437	3	2637 Main St.	(bet. Craven Ln. & Phillips Ave.)	Lawrenceville, NJ 08648
1438	2	33 Paterson St	Newark, NJ 07105
1439	3	594 Valley Rd.	(Bellevue Ave.)	Upper Montclair, NJ 07043
1440	2	437 Park Ave	Scotch Plains, NJ 07076
1441	3	912 Washington St.	(bet. 9th & 10th Sts.)	Hoboken, NJ 07030
1442	2	58 Kossuth St	Newark, NJ 07105
1443	3	63 Cedar Ln.	(bet. Broad St. & Teaneck Rd.)	Teaneck, NJ 07666
1444	2	US Highway 130 N	Hightstown, NJ 08520
1445	2	1700 W Elizabeth Ave	Linden, NJ 07036
1446	2	18 Prospect St	Waldwick, NJ 07463
1447	3	147 Morris St.	(bet. Elm & King Sts.)	Morristown, NJ 07960
1448	5	Swann Hotel	|	43 S. Main St.	(Swan St.)	Lambertville, NJ 08530
1449	3	41 Central Ave.	(bet. Greenwood & Madison Aves.)	Midland Park, NJ 07432
1450	2	180 Maplewood Ave	Maplewood, NJ 07040
1451	2	99 Taylor Ave	Manasquan, NJ 08736
1452	2	33 Broad St	Red Bank, NJ 07701
1453	3	619 S. New York Rd.	(bet. Brook Ln. & Holly Brook Dr.)	Galloway Township, NJ 08205
1454	3	600 Ocean Ave.	(bet. Norwood & Woodland Aves.)	Avon-by-the-Sea, NJ 07717
1455	3	1595 Rte. 22 W.	(Raymond Ave.)	Watchung, NJ 07069
1456	2	513 Cedar Ln	Teaneck, NJ 07666
1457	2	185 Madisonville Rd	Basking Ridge, NJ 07920
1458	2	700 Haddonfield Berlin R Ste 17	Voorhees, NJ 08043
1459	3	1099 Broad St.	(Watchung Ave.)	Bloomfield, NJ 07003
1460	3	1 First St.	(River Rd.)	Rumson, NJ 07760
1461	3	122 Bay Ave.	(Cornwell St.)	Highlands, NJ 07732
1462	3	28 Oak St.	(bet. Franklin & Ridgewood Aves.)	Ridgewood, NJ 07450
1463	2	500 W Hand Ave	Wildwood, NJ 08260
1464	2	18 Downing St	Newark, NJ 07105
1465	2	1640 Broad St	Bloomfield, NJ 07003
1466	2	112 Stevens Ave	Little Falls, NJ 07424
1467	3	600 Main St.	(Brinley Ave.)	Bradley Beach, NJ 07720
1468	2	1 Lukach Ct	Milltown, NJ 08850
1469	2	460 Ridgedale Ave	East Hanover, NJ 07936
1470	3	7 E. Front St.	(Wharf Ave.)	Red Bank, NJ 07701
1471	2	1051 Raritan Rd	Clark, NJ 07066
1472	3	9th Street	(Bay Avenue)	Beach Haven, NJ 08008
1473	3	14 Broad St.	(bet. Front & Mechanic Sts.)	Red Bank, NJ 07701
1474	5	Grand Victorian Hotel	|	1505 Ocean Ave.	(bet. Madison & Newark Aves.)	Spring Lake, NJ 07762
1475	2	21 E Palisade Ave	Englewood, NJ 07631
1476	5	Congress Hall Hotel	|	251 Beach Ave.	(bet. Congress & Perry Sts.)	Cape May, NJ 08204
1477	2	103 Valley Rd	Clifton, NJ 07013
1478	5	Center 18 Mall	|	1020 Rte. 18 N.	(bet. Gunia St. & Hillsdale Rd.)	East Brunswick, NJ 08816
1479	2	553 Main St	Fort Lee, NJ 07024
1480	3	39 S. Main St.	(Coates St.)	Medford, NJ 08055
1481	2	428 Stokes Rd	Medford, NJ 08055
1482	3	99 Monroe St.	(bet. Ferry & Lafayette Sts.)	Newark, NJ 07105
1483	2	35 Edison Pl	Newark, NJ 07102
1484	5	Willow Pointe Shopping Ctr.	|	184 Rte. 9	(Union Hill Rd.)	Marlboro, NJ 07726
1485	3	146 Kings Hwy. E.	(Centre St.)	Haddonfield, NJ 8033
1486	2	380 Broad St	Bloomfield, NJ 07003
1487	3	7 W. Broad St.	(Greenwood Ave.)	Hopewell, NJ 08525
1488	2	2 Morford Pl	Red Bank, NJ 07701
1489	2	426 Jersey Ave	Jersey City, NJ 07302
1490	2	234 Somerset St	New Brunswick, NJ 08901
1491	3	1044 Ave. C	(50th St.)	Bayonne, NJ 07002
1492	3	167 Park Ave.	(bet. Highland Cross & Park Pl.)	Rutherford, NJ 07070
1493	2	309 Millburn Ave	Millburn, NJ 07041
1494	2	477 State Route 10	Randolph, NJ 07869
1495	2	537 Washington Blvd	Jersey City, NJ 07310
1496	3	2011 Marlton Pike W.	(Haddonfield Rd.)	Cherry Hill, NJ 08002
1497	3	219 High St.	(Pearl St.)	Burlington, NJ 08016
1498	5	Kitchen Expo Plaza	|	1 Rte. 31	(Rte. 202)	Flemington, NJ 08822
1499	2	17 Washington St	Toms River, NJ 08753
1500	5	Quarter at the Tropicana	|	2801 Pacific Ave.	(Iowa Ave.)	Atlantic City, NJ 08401
1501	3	162 Main St.	(bet. Cookman & Lake Aves.)	Asbury Park, NJ 07712
1502	2	1438 Sussex Tpke	Randolph, NJ 07869
1503	3	563 Haddon Ave.	(Knight Ave.)	Collingswood, NJ 08108
1504	2	25 Route 73 S	Marlton, NJ 08053
1505	2	630 Broad Ave	Ridgefield, NJ 07657
1506	2	811 Highway 33	Trenton, NJ 08619
1507	2	1454 US Highway 9	Howell, NJ 07731
1508	2	33 US Highway 9 N # 9	Freehold, NJ 07728
1509	2	163 S Livingston Ave	Livingston, NJ 07039
1510	3	183 Rte. 130	(Elizabeth St.)	Bordentown, NJ 08505
1511	2	342 Valley Rd	Gillette, NJ 07933
1512	2	200 Broad Ave	Palisades Park, NJ 07650
1513	2	328 White Horse Pike	Clementon, NJ 08021
1514	5	Colts Towne Plaza Shopping Ctr.	|	317 Rte. 34	(bet. Professional Circle & Rte. 537)	Colts Neck, NJ 07722
1515	3	12 Church St.	(Bloomfield Ave.)	Montclair, NJ 07042
1516	2	2117 Springfield Ave	Union, NJ 07083
1517	2	32 W Main St	Freehold, NJ 07728
1518	3	56-58 14th St.	(bet. Hudson & Washington Sts.)	Hoboken, NJ 07030
1519	2	1109 Elizabeth Ave Ste A	Elizabeth, NJ 07201
1520	2	637 Market St	Newark, NJ 07105
1521	3	29 Main Rd.	(Morris Ave.)	Montville, NJ 07045
1522	3	910 Haddonfield-Berlin Rd.	((Ritz Center))	Voorhees, NJ 08043
1523	2	285 US Highway 202 N	Flemington, NJ 08822
1524	3	541 River Rd.	(Gorge Rd.)	Edgewater, NJ 07020
1525	2	292 Princeton Ave	Brick, NJ 08724
1526	2	216 US Highway 46	Fairfield, NJ 07004
1527	2	1500 Saint Georges Ave	Avenel, NJ 07001
1528	3	427 Springfield Ave.	(Summit Ave.)	Summit, NJ 07901
1529	3	11 Bridge Ave.	(Front St.)	Red Bank, NJ 07701
1530	2	324 Park Ave	Rutherford, NJ 07070
1531	3	54 N. Franklin St.	(Coryell St.)	Lambertville, NJ 08530
1532	3	428 Springfield Ave.	(Lone Pine Dr.)	Berkeley Heights, NJ 07922
1533	3	2691 Main St.	(Gordon Ave.)	Lawrenceville, NJ 08648
1534	2	1073 Raritan Rd	Clark, NJ 07066
1535	3	259 Johnson Ave.	(Madison Ave.)	River Edge, NJ 07661
1536	2	461 Bloomfield Ave	Caldwell, NJ 07006
1537	2	191 Woodport Rd	Sparta, NJ 07871
1538	3	58 Rte. 46 W.	(bet. Chapin & Van Winkle Rds.)	Pine Brook, NJ 07058
1539	2	404 Broad Ave	Palisades Park, NJ 07650
1540	2	17 Main St	Annandale, NJ 08801
1541	3	58 Broad St.	(Front St.)	Keyport, NJ 07735
1542	3	107 Morristown Rd.	(Finley Ave.)	Bernardsville, NJ 07924
1543	2	368 Cedar Ln	Teaneck, NJ 07666
1544	2	32 Easton Ave	New Brunswick, NJ 08901
1545	3	1405 Teaneck Rd.	(bet. Rte. 4 & Tryon Ave.)	Teaneck, NJ 07666
1546	2	508 Washington St	Hoboken, NJ 07030
1547	5	Pennington Shopping Ctr.	|	25 Rte. 31 S.	(bet. Delaware & Franklin Aves.)	Pennington, NJ 08534
1548	3	205 Paramus Rd.	(bet. Century Rd. & Rte. 4)	Paramus, NJ 07652
1549	5	Stella Towne Ctr.	|	1246 Rte. 166	(Hilltop Rd.)	Toms River, NJ 08753
1550	3	40 W. Main St.	(Court St.)	Freehold, NJ 07728
1551	3	10 Second St.	(bet. Anderson & Thompson Sts.)	Raritan, NJ 08869
1552	2	1409 Palisade Ave	Teaneck, NJ 07666
1553	3	135 Farnsworth Ave.	(Railroad Ave.)	Bordentown, NJ 08505
1554	3	2633 Main St.	(bet. Craven Ln. & Phillips Ave.)	Lawrenceville, NJ 08648
1555	2	173 Mercer St.	Hightstown, NJ 08520
1556	2	327 12th St	Hammonton, NJ 08037
1557	5	Westfield Garden State Plaza	|	1 Garden State Plaza	(E. Passaic St.)	Paramus, NJ 07652
1558	3	248 Fort Lee Rd.	(Broad Ave.)	Leonia, NJ 07605
1559	5	Borgata Hotel, Casino & Spa	|	Borgata Way	(Huron Ave.)	Atlantic City, NJ 08401
1560	3	28 Church Rd.	(bet. I-295 & Kings Hwy.)	Maple Shade, NJ 08052
1561	2	1353 Stelton Rd	Piscataway, NJ 08854
1562	2	67 Ellis St	Haddonfield, NJ 08033
1563	2	1475 Bergen Blvd	Fort Lee, NJ 07024
1564	2	414 Richmond Ave	Point Pleasant Beach, NJ 08742
1565	2	810 The Plz	Sea Girt, NJ 08750
1566	2	3681 US Highway 9 Ste 21	Freehold, NJ 07728
1567	2	31 W Front St	Red Bank, NJ 07701
1568	2	1954 State Route 57	Hackettstown, NJ 07840
1569	3	23 Bridge St.	(Union St.)	Lambertville, NJ 08530
1570	2	1 Elm Row	New Brunswick, NJ 08901
1571	3	10 Wallace St.	(Broad St.)	Red Bank, NJ 07701
1572	2	15 S Orange Ave	South Orange, NJ 07079
1573	3	400 Adams St.	(4th St.)	Hoboken, NJ 07030
1574	2	67 Morris St	Morristown, NJ 07960
1575	2	84 Highway 94	Franklin, NJ 07416
1576	2	775 Mantoloking Rd	Brick, NJ 08723
1577	3	661 Midland Ave.	(Plauderville Ave.)	Garfield, NJ 07026
1578	3	136 Baldwin Rd	(RTE 46 W)	Parsippany, NJ 07054
1579	3	225 US Highway 202	(Route 287)	Basking Ridge, NJ 07920
1580	5	Garden St. Plaza	|	1 Garden St. Plaza	(Garden St. Pl. Way)	Paramus, NJ 07652
1581	2	467 Broadway	Westwood, NJ 07675
1582	2	3119 Route 88	Point Pleasant, NJ 08742
1583	2	14 Park St	Montclair, NJ 07042
1584	5	Grenville Hotel	|	345 Main Ave.	(bet. Harris & Karge Sts.)	Bay Head, NJ 08742
1585	2	135 State Route 33	Manalapan, NJ 07726
1586	5	Trump Taj Mahal	|	1000 Boardwalk	(S. Virginia Ave.)	Atlantic City, NJ 08401
1587	3	7904 Long Beach Blvd.	(79th St.)	Harvey Cedars, NJ 08008
1588	3	1345 Palisade Ave.	(Harmon Ave.)	Fort Lee, NJ 07024
1589	3	1980 N. Olden Ave	(Olden Ave and Parkway Ave)	Trenton, NJ 08610
1590	2	14 US Highway 46	Fairfield, NJ 07004
1591	2	319 Hackensack St	Carlstadt, NJ 07072
1592	3	633 Rte. 10	(Whippany Rd.)	Whippany, NJ 07981
1593	2	933 W Park Ave	Ocean, NJ 07712
1594	3	387 Bloomfield Ave.	(Willow St.)	Montclair, NJ 07042
1595	3	74 S. Union St.	(Mt. Hope St.)	Lambertville, NJ 08530
1596	3	164 St. James Pl.	(bet. The Boardwalk & Pacific Ave.)	Atlantic City, NJ 08401
1597	3	575 W Mount Pleasant Ave	(Route 10)	Livingston, NJ 07039
1598	2	516 Arnold Ave	Point Pleasant Beach, NJ 08742
1599	3	1611 Palisade Ave.	(Angioletti St.)	Fort Lee, NJ 07024
1600	2	900 Delsea Dr N	Glassboro, NJ 08028
1601	2	31 Montgomery Ave	Long Branch, NJ 07740
1602	2	30 Oak St	Ridgewood, NJ 07450
1603	2	177 Washington Valley Rd	Warren, NJ 07059
1604	2	1069 Inman Ave	Edison, NJ 08820
1605	2	208 Kings Hwy E	Haddonfield, NJ 08033
1606	2	114 Central Ave	Westfield, NJ 07090
1607	2	Highway 36	Hazlet, NJ 07730
1608	5	Garden State Plaza	|	1 Garden State Plaza	(Roosevelt Ave.)	Paramus, NJ 07652
1609	3	9407 Ventnor Ave.	(Jefferson Ave. and Adams Ave.)	Margate, NJ 08402
1610	2	133 Main St	Hackettstown, NJ 07840
1611	3	708 River Rd.	(bet. 7th & 8th Aves.)	Belmar, NJ 07719
1612	5	Sawmill Village	|	404 Rte. 70 W.	(Sawmill Rd.)	Cherry Hill, NJ 08034
1613	2	2389 State Route 36	Atlantic Highlands, NJ 07716
1614	3	291 Essex St	(Main St)	Millburn, NJ 07041
1615	3	40 E. Gibbsboro Rd.	(White Horse Pike)	Lindenwold, NJ 08021
1616	2	230 Decatur St	New Orleans, LA 70130
1617	5	Audubon Pk.	|	6500 Magazine St.	(East Dr.)	New Orleans, LA 70118
1618	2	4401 Jefferson Hwy	New Orleans, LA 70121
1619	5	Loews	|	300 Poydras St.	(S. Peters St.)	New Orleans, LA 70130
1620	5	French Mkt.	|	800 Decatur St.	(St. Ann St.)	New Orleans, LA 70116
1621	3	923 Decatur St.	(bet. Dumaine & St. Philip Sts.)	New Orleans, LA 70116
1622	3	4510 Dryades St.	(bet. Cadiz & Jena Sts.)	New Orleans, LA 70115
1623	2	124 Royal St	New Orleans, LA 70130
1624	3	1403 Washington Ave.	(Coliseum St.)	New Orleans, LA 70130
1625	3	620 Iberville St.	(Exchange Pl.)	New Orleans, LA 70130
1626	3	841 Iberville St.	(bet. Bourbon & Dauphine Sts.)	New Orleans, LA 70112
1627	3	900 Dumaine St.	(Dauphine St.)	New Orleans, LA 70116
1628	3	739 Iberville St.	(Bourbon St.)	New Orleans, LA 70130
1629	2	4938 Prytania St	New Orleans, LA 70115
1630	3	1136 Decatur St.	(bet. Governor Nicholls St. & Ursuline Ave.)	New Orleans, LA 70116
1631	3	209 Bourbon St.	(Iberville St.)	New Orleans, LA 70130
1632	3	3100 Magazine St.	(bet. Louisiana & Washington Aves.)	New Orleans, LA 70115
1633	3	307 Exchange Pl.	(Bienville St.)	New Orleans, LA 70130
1634	3	329 Decatur St	(Between Conti and Iberville)	New Orleans, LA 70130
1635	3	4200 Magazine St.	(Milan St.)	New Orleans, LA 70115
1636	3	430 Barracks St.	(bet. Decatur St. & French Market Pl.)	New Orleans, LA 70116
1637	3	417 S. Rampart St.	(Perdido St.)	New Orleans, LA 70112
1638	3	1732 ST Charles	(Polymnia)	New Orleans, LA 70130
1639	3	833 Conti St.	(bet. Bourbon & Dauphine Sts.)	New Orleans, LA 70112
1640	3	7808 Maple St.	(Burdette St.)	New Orleans, LA 70118
1641	3	857 Fulton St.	(St. Joseph St.)	New Orleans, LA 70130
1642	5	Maison Dupuy Hotel	|	1001 Toulouse St.	(Burgundy St.)	New Orleans, LA 70112
1643	2	337 Dauphine St	New Orleans, LA 70112
1644	3	7623 Maple St.	(bet. Adams & Hillary Sts.)	New Orleans, LA 70118
1645	3	1820 St. Charles Ave.	(bet. Felicity & St. Mary Sts.)	New Orleans, LA 70130
1646	3	133 St. Charles Ave.	(bet. Canal & Common Sts.)	New Orleans, LA 70130
1647	5	Renaissance Pere Marquette	|	817 Common St.	(bet. Baronne & Carondelet Sts.)	New Orleans, LA 70112
1648	2	2601 Royal St	New Orleans, LA 70117
1649	3	1212 Royal St.	(bet. Barracks & Governor Nicholls Sts.)	New Orleans, LA 70116
1650	3	500 Chartres St.	(St. Louis St.)	New Orleans, LA 70130
1651	3	739 Conti St	(Bourbon)	New Orleans, LA 70130
1652	3	14367 Chef Menteur Hwy.	(Alcee Fortier Blvd.)	New Orleans, LA 70129
1653	3	4238 S. Claiborne Ave.	(General Pershing St.)	New Orleans, LA 70125
1654	5	International House Hotel	|	217 Camp St.	(bet. Common & Gravier Sts.)	New Orleans, LA 70130
1655	3	115 Bourbon St.	(bet. Canal & Iberville Sts.)	New Orleans, LA 70130
1656	5	Omni Royal Orleans	|	621 St. Louis St.	(Chartres St.)	New Orleans, LA 70130
1657	3	7801 Panola St.	(Burdette St.)	New Orleans, LA 70118
1658	5	Harrah's Hotel	|	525 Fulton St.	(Poydras St.)	New Orleans, LA 70130
1659	5	JW Marriott	|	614 Canal St.	(Camp St.)	New Orleans, LA 70130
1660	5	Duane Street Hotel	|	130 Duane St.	(Church St.)	Manhattan, NY 10013
1661	3	98 Rivington St.	(Ludlow St.)	Manhattan, NY 10002
1662	5	Chelsea Mkt.	|	75 Ninth Ave.	(bet. 15th & 16th Sts.)	Manhattan, NY 10011
1663	3	168 Ave. B	(bet. 10th & 11th Sts.)	Manhattan, NY 10009
1664	3	162 E. 33rd St.	(bet. Lexington & 3rd Aves.)	Manhattan, NY 10016
1665	3	621 9th Ave	(44th Street & 9th Ave)	Manhattan, NY 10036
1666	3	68 Greenpoint Ave	(Franklin St & West St)	Brooklyn, NY 11222
1667	2	2211 86th St	Brooklyn, NY 11214
1668	3	22 W. Eighth St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10011
1669	2	151 E 43rd St Frnt B	Manhattan, NY 10017
1670	3	259 Fifth Ave.	(Garfield Pl.)	Brooklyn, NY 11215
1671	5	Blakely Hotel	|	136 W. 55th St.	(bet. 6th & 7th Aves.)	Manhattan, NY 10019
1672	3	409 W. 14th St.	(bet. 9th Ave. & Washington St.)	Manhattan, NY 10014
1673	3	1407 Broadway	(bet. 38th & 39th Sts.)	Manhattan, NY 10018
1674	3	213 E. 45th St.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10017
1675	2	256 W 116th St	Manhattan, NY 10026
1676	2	807 Lexington Ave	Manhattan, NY 10021
1677	3	802 Ninth Ave.	(bet. 53rd & 54th Sts.)	Manhattan, NY 10019
1678	2	330 E 53rd St	Manhattan, NY 10022
1679	3	1068 First Ave.	(58th St.)	Manhattan, NY 10022
1680	2	14 Mott St	Manhattan, NY 10013
1681	3	19 W. 46th St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10036
1682	3	1425 York Ave.	(bet. 75th & 76th Sts.)	Manhattan, NY 10021
1683	2	13216 14th Ave	Queens, NY 11356
1684	2	3620 Ditmars Blvd	Queens, NY 11105
1685	3	31 W. 17th St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10011
1686	2	8 Maiden Ln	Manhattan, NY 10038
1687	3	187 Columbia St., 2nd fl.	(Degraw St.)	Brooklyn, NY 11231
1688	3	2588 Broadway	(bet. 97th & 98th Sts.)	Manhattan, NY 10025
1689	3	66 Mott St.	(bet. Bayard & Canal Sts.)	Manhattan, NY 10013
1690	2	44 1st Ave	Manhattan, NY 10009
1691	3	624 Vanderbilt Ave.	(Prospect Pl.)	Brooklyn, NY 11238
1692	3	300 E. 12th St.	(bet. 1st & 2nd Aves.)	Manhattan, NY 10003
1693	3	258 W. 44th St.	(bet. B'way & 8th Ave.)	Manhattan, NY 10036
1694	3	2110 Avenue X	(bet. E.21st & E. 22nd Streets)	Brooklyn, NY 11235
1695	3	112 Suffolk St	(bet. Rivington & Delancey)	Manhattan, NY 10002
1696	2	234 W 48th St	Manhattan, NY 10036
1697	3	60 Third Ave.	(bet. 10th & 11th Sts.)	Manhattan, NY 10003
1698	2	159 E 55th St	Manhattan, NY 10022
1699	2	1451 Richmond Ave	Staten Island, NY 10314
1700	2	2276 Bartow Ave	Bronx, NY 10475
1701	2	773 Fulton St	Brooklyn, NY 11217
1702	5	Plaza Athénée Hotel	|	37 E. 64th St.	(bet. Madison & Park Aves.)	Manhattan, NY 10065
1703	2	7427 37th Ave	Queens, NY 11372
1704	3	141 W. 38th St.	(bet. B'way & 7th Ave.)	Manhattan, NY 10018
1705	3	2290 Broadway	(bet. 82nd & 83rd Sts.)	Manhattan, NY 10024
1706	3	1617 York Ave	(on the corner of 85th street)	Manhattan, NY 10028
1707	5	Morgans Hotel	|	237 Madison Ave.	(bet. 37th & 38th Sts.)	Manhattan, NY 10016
1708	2	247 5th Ave	Brooklyn, NY 11215
1709	3	70 Grand St.	(Wythe Ave.)	Brooklyn, NY 11211
1710	3	11 West 31st Street	(bet. B'way & 5th Ave.)	Manhattan, NY 10001
1711	2	127 2nd Ave	Manhattan, NY 10003
1712	3	240 E. 75th St.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10021
1713	3	320 W. 46th St.	(bet. 8th & 9th Aves.)	Manhattan, NY 10036
1714	2	984 Coney Island Ave	Brooklyn, NY 11230
1715	2	3703 Broadway	Queens, NY 11103
1716	2	9510 3rd Ave	Brooklyn, NY 11209
1717	3	193 Spring St.	(bet. Sullivan & Thompson Sts.)	Manhattan, NY 10012
1718	2	435 3rd Ave	Manhattan, NY 10016
1719	3	69-12 Austin St.	(bet. 69th Rd. & Yellowstone Blvd.)	Queens, NY 11375
1720	3	37 St. Marks Pl.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10003
1721	3	1900 Broadway	(bet. 63rd & 64th Sts.)	Manhattan, NY 10023
1722	3	65 Second Ave.	(bet. 3rd & 4th Sts.)	Manhattan, NY 10003
1723	3	268 Sixth Ave.	(bet. Bleecker & Houston Sts.)	Manhattan, NY 10014
1724	2	225 Front St	Manhattan, NY 10038
1725	3	775 Washington St.	(bet. Jane & W. 12th Sts.)	Manhattan, NY 10014
1726	2	5625 Broadway Frnt 4	Bronx, NY 10463
1727	3	398 W. Broadway	(bet. Broome & Spring Sts.)	Manhattan, NY 10012
1728	3	676 Ninth Ave.	(bet. 46th & 47th Sts.)	Manhattan, NY 10036
1729	2	1112 Forest Ave	Staten Island, NY 10310
1730	2	458 W 145th St	Manhattan, NY 10031
1731	2	120 W 3rd St Bsmt	Manhattan, NY 10012
1732	3	638 Bergen St.	(Vanderbilt Ave.)	Brooklyn, NY 11238
1733	3	355 W. 46th St.	(bet. 8th & 9th Aves.)	Manhattan, NY 10036
1734	2	81 Pearl St Frnt A	Manhattan, NY 10004
1735	3	211. w. 43rd street	(bet. 7th and 8th aves.)	Manhattan, NY 10036
1736	3	209 W. 38th St.	(bet. 7th & 8th Aves.)	Manhattan, NY 10018
1737	2	163 Mulberry St	Manhattan, NY 10013
1738	3	102 Lexington Ave	(bet. 27th & 28th Street)	Manhattan, NY 10016
1739	2	43 Murray St	Manhattan, NY 10007
1740	3	1596 Second Ave.	(83rd St.)	Manhattan, NY 10028
1741	3	70 W. 71st St.	(bet. Columbus Ave. & CPW)	Manhattan, NY 10023
1742	3	67 Mott St.	(bet. Bayard & Canal Sts.)	Manhattan, NY 10013
1743	2	57 E 54th St	Manhattan, NY 10022
1744	2	149 1st Ave Frnt 2	Manhattan, NY 10003
1745	3	260 W. 29th St.	(8th Ave.)	Manhattan, NY 10001
1746	3	415 Third Ave.	(29th St.)	Manhattan, NY 10016
1747	2	37 E 60th St	Manhattan, NY 10022
1748	3	1113 First Ave.	(61st St.)	Manhattan, NY 10065
1749	3	218 3rd Ave	(bet. 18th & 19th Streets)	Manhattan, NY 10003
1750	2	8 W 38th St	Manhattan, NY 10018
1751	3	137 W 33rd St	(7th Avenue)	Manhattan, NY 10001
1752	2	281 Bleecker St	Manhattan, NY 10014
1753	3	111 E. 22nd St.	(bet. Lexington Ave. & Park Ave. S.)	Manhattan, NY 10010
1754	3	106 E. 57th St.	(bet. Lexington & Park Aves.)	Manhattan, NY 10022
1755	5	Citi Field	|	126th St. & Roosevelt Ave.	(behind the scoreboard)	Queens, NY 11368
1756	3	31 Union Sq. W.	(16th St.)	Manhattan, NY 10003
1757	3	216 Grand St.	(Elizabeth St.)	Manhattan, NY 10013
1758	2	234 7th Ave	Manhattan, NY 10011
1759	2	95 Chambers St	Manhattan, NY 10007
1760	3	9 St. Marks Pl.	(bet. 2nd & 3rd Aves.)	Manhattan, NY 10003
1761	3	53 W. 19th St.	(bet. 5th & 6th Aves.)	Manhattan, NY 10011
1762	3	772 Ninth Ave.	(bet. 51st & 52nd Sts.)	Manhattan, NY 10019
1763	2	13415 20th Ave	Queens, NY 11356
1764	3	300 W. 46th St.	(8th Ave.)	Manhattan, NY 10036
1765	3	45 Rockefeller Plaza	(enter on 50th St., bet. 5th & 6th Aves.)	Manhattan, NY 10111
1766	2	700 2nd Ave	Manhattan, NY 10016
1767	2	328 W 46th St Frnt	Manhattan, NY 10036
1768	5	Ace Hotel	|	16 W. 29th St.	(bet. B'way & 5th Ave.)	Manhattan, NY 10001
1769	3	304 W. 56th St.	(bet. 8th & 9th Aves.)	Manhattan, NY 10019
1770	2	9011 3rd Ave	Brooklyn, NY 11209
1771	3	174 New Dorp Ln.	(9th St.)	Staten Island, NY 10306
1772	2	315 W 46th St	Manhattan, NY 10036
1773	3	162 Fifth Ave.	(bet. Degraw & Douglass Sts.)	Brooklyn, NY 11217
1774	3	61 Hester St.	(bet. Essex & Ludlow Sts.)	Manhattan, NY 10002
1775	3	1 Bruckner Blvd.	(3rd Ave.)	Bronx, NY 10454
1776	3	1501 Broadway	(bet. 43rd & 44th Sts.)	Manhattan, NY 10036
1777	2	4345 40th St	Queens, NY 11104
1778	2	1750 2nd Ave	Manhattan, NY 10128
1779	5	Waldorf-Astoria	|	301 Park Ave.	(enter on Lexington Ave. & 49th St.)	Manhattan, NY 10022
1780	2	94 University Pl	Manhattan, NY 10003
1781	2	50 E 8th St	Manhattan, NY 10003
1782	3	30 Water St.	(bet. Broad St. & Coenties Slip)	Manhattan, NY 10004
1783	3	125 W. 43rd St.	(bet. B'way & 6th Ave.)	Manhattan, NY 10036
1784	2	2702 Astoria Blvd	Queens, NY 11102
1785	3	50 Carmine St.	(bet. Bedford & Bleecker Sts.)	Manhattan, NY 10014
1786	2	18 W 38th St	Manhattan, NY 10018
